"","tt","bright","OLED"
"1",0.5,73.62,"OLED #1"
"2",2.5,67.18,"OLED #1"
"3",6.5,64.35,"OLED #1"
"4",16,61.91,"OLED #1"
"5",22.67,60.26,"OLED #1"
"6",36,58.28,"OLED #1"
"7",56,55.32,"OLED #1"
"8",79,52.05,"OLED #1"
"9",103,51.1,"OLED #1"
"10",131,47.49,"OLED #1"
"11",167,45.56,"OLED #1"
"12",208,45.89,"OLED #1"
"13",251.5,43.04,"OLED #1"
"14",301.5,40.73,"OLED #1"
"15",364,38.98,"OLED #1"
"16",429,38.58,"OLED #1"
"17",577,35.21,"OLED #1"
"18",655,34.24,"OLED #1"
"19",795,31.28,"OLED #1"
"20",0.5,70.69,"OLED #2"
"21",2.5,64.16,"OLED #2"
"22",6.5,62.52,"OLED #2"
"23",16,58.62,"OLED #2"
"24",22.67,56.97,"OLED #2"
"25",36,55.74,"OLED #2"
"26",56,52.21,"OLED #2"
"27",79,49.27,"OLED #2"
"28",103,48.35,"OLED #2"
"29",131,44.59,"OLED #2"
"30",167,43.85,"OLED #2"
"31",208,40.82,"OLED #2"
"32",251.5,39.17,"OLED #2"
"33",301.5,38.13,"OLED #2"
"34",364,36.11,"OLED #2"
"35",429,34.44,"OLED #2"
"36",577,31.39,"OLED #2"
"37",655,29.58,"OLED #2"
"38",795,27.93,"OLED #2"
"39",0.5,71.41,"OLED #3"
"40",2.5,65.33,"OLED #3"
"41",6.5,62.55,"OLED #3"
"42",16,59.99,"OLED #3"
"43",22.67,57.6,"OLED #3"
"44",36,55.6,"OLED #3"
"45",56,52.14,"OLED #3"
"46",79,48.37,"OLED #3"
"47",103,47.16,"OLED #3"
"48",131,43.52,"OLED #3"
"49",167,41.75,"OLED #3"
"50",208,41.07,"OLED #3"
"51",251.5,38.67,"OLED #3"
"52",301.5,36.33,"OLED #3"
"53",364,35.45,"OLED #3"
"54",429,35.53,"OLED #3"
"55",577,30.7,"OLED #3"
"56",655,29.93,"OLED #3"
"57",795,27.57,"OLED #3"
"58",0.5,70.67,"OLED #4"
"59",2.5,64.14,"OLED #4"
"60",6.5,60.7,"OLED #4"
"61",16,57.66,"OLED #4"
"62",22.67,54.95,"OLED #4"
"63",36,54.08,"OLED #4"
"64",56,50.58,"OLED #4"
"65",79,47.14,"OLED #4"
"66",103,45.48,"OLED #4"
"67",131,42.79,"OLED #4"
"68",167,41.34,"OLED #4"
"69",208,37.35,"OLED #4"
"70",251.5,36.97,"OLED #4"
"71",301.5,35.72,"OLED #4"
"72",364,32.56,"OLED #4"
"73",429,31.56,"OLED #4"
"74",577,28.65,"OLED #4"
"75",655,27.37,"OLED #4"
"76",795,25.55,"OLED #4"
"77",0.5,71.38,"OLED #5"
"78",2.5,65.79,"OLED #5"
"79",6.5,61.99,"OLED #5"
"80",16,59.36,"OLED #5"
"81",22.67,57,"OLED #5"
"82",36,54.37,"OLED #5"
"83",56,49.7,"OLED #5"
"84",79,46.36,"OLED #5"
"85",103,45.23,"OLED #5"
"86",131,41.33,"OLED #5"
"87",167,38.97,"OLED #5"
"88",208,35.19,"OLED #5"
"89",251.5,34.86,"OLED #5"
"90",301.5,32.18,"OLED #5"
"91",364,31.62,"OLED #5"
"92",429,31.31,"OLED #5"
"93",577,27.09,"OLED #5"
"94",655,26.04,"OLED #5"
"95",795,23.47,"OLED #5"
"96",0.5,69.84,"OLED #6"
"97",2.5,62.97,"OLED #6"
"98",6.5,59.69,"OLED #6"
"99",16,55.95,"OLED #6"
"100",22.67,53.06,"OLED #6"
"101",36,51.61,"OLED #6"
"102",56,47.44,"OLED #6"
"103",79,43.71,"OLED #6"
"104",103,41.7,"OLED #6"
"105",131,38.82,"OLED #6"
"106",167,37.23,"OLED #6"
"107",208,33.2,"OLED #6"
"108",251.5,33.15,"OLED #6"
"109",301.5,31.98,"OLED #6"
"110",364,28.36,"OLED #6"
"111",429,27.1,"OLED #6"
"112",577,24.52,"OLED #6"
"113",655,22.88,"OLED #6"
"114",795,21.21,"OLED #6"
